ステップ見出しタイトル 一意一覧（意味グループ順）
抽出対象: Math_Prompt直下の m-*.txt（Math_Question内の生成問題は除外）
一意タイトル数: 1576
形式: グループ	タイトル	出現数	例
08 計算する・値を求める	(2) $x=-3$，$x=-1$ のときの $y$ の値を求める	1	m-jh3-B-01-05b.txt:141
08 計算する・値を求める	(2) $x=-4$，$x=-2$ のときの $y$ の値を求める	1	m-jh3-B-01-05b.txt:205
08 計算する・値を求める	(2) $x=-6$ と $x=-3$ のときの $y$ の値を求める	1	m-jh3-B-01-07b.txt:209
08 計算する・値を求める	(2) 変化の割合を求める	4	m-jh3-B-01-05b.txt:152, m-jh3-B-01-05b.txt:216, m-jh3-B-01-07b.txt:146, m-jh3-B-01-07b.txt:217
08 計算する・値を求める	1つの内角を求める	1	m-jh2-C-01-03b.txt:258
08 計算する・値を求める	2つの短い辺の2乗の和を求める	3	m-jh3-C-03-03b.txt:86, m-jh3-C-03-03b.txt:124, m-jh3-C-03-03b.txt:162
08 計算する・値を求める	2乗を計算する	1	m-jh1-A-02-04b.txt:298
08 計算する・値を求める	2点から傾き $a$ を求める	1	m-jh2-B-01-13b.txt:133
08 計算する・値を求める	2直線 $\ell,m$ の距離を求める	1	m-jh1-C-01-03b.txt:157
08 計算する・値を求める	①$\times2-$②を計算して、$x$ を求める	1	m-jh2-A-03-13s.txt:109
08 計算する・値を求める	②を解いて $x$ を求める	1	m-jh2-A-03-10s.txt:81
08 計算する・値を求める	かけ合わせて計算する	1	m-jh1-A-01-21s.txt:133
08 計算する・値を求める	かけ算を先に計算する	2	m-jh1-A-02-04s.txt:86, m-jh2-A-01-13b.txt:104
08 計算する・値を求める	さらに素数の積にする	1	m-jh1-A-01-21b.txt:73
08 計算する・値を求める	すべての辺を2倍にしたときの体積が、もとの立方体の体積の何倍かを計算する	1	m-jh2-A-02-02s.txt:81
08 計算する・値を求める	それぞれの積を計算する	7	m-jh1-A-02-07b.txt:173, m-jh1-A-02-07b.txt:211, m-jh1-A-02-08b.txt:143, m-jh1-A-02-08s.txt:83, m-jh1-A-02-09s.txt:76
08 計算する・値を求める	それぞれの項を「係数と文字の積」と見る	5	m-jh1-A-02-06b.txt:73, m-jh1-A-02-06b.txt:102, m-jh1-A-02-06b.txt:131, m-jh1-A-02-06b.txt:161, m-jh1-A-02-06b.txt:190
08 計算する・値を求める	それぞれの項を計算する	10	m-jh3-A-04-14b.txt:89, m-jh3-A-04-14b.txt:141, m-jh3-A-04-14s.txt:145, m-jh3-A-04-15b.txt:88, m-jh3-A-04-15b.txt:137
08 計算する・値を求める	それぞれ約分して計算する	2	m-jh1-A-02-07s.txt:117, m-jh1-A-02-08s.txt:116
08 計算する・値を求める	それぞれ計算する	6	m-jh1-A-01-17s.txt:226, m-jh1-A-01-17s.txt:262, m-jh1-A-02-09b.txt:76, m-jh1-A-02-09b.txt:100, m-jh1-A-02-09b.txt:124
08 計算する・値を求める	それぞれを計算する	2	m-jh3-A-04-03b.txt:115, m-jh3-A-04-03b.txt:154
08 計算する・値を求める	たし算・ひき算を計算する	1	m-jh1-A-02-04s.txt:91
08 計算する・値を求める	はじめに入っていた水の体積を求める	1	m-jh1-B-03-01b.txt:160
08 計算する・値を求める	ひき算を計算する	1	m-jh1-A-02-04s.txt:130
08 計算する・値を求める	まず右辺の比を約分する	1	m-jh1-A-03-08s.txt:112
08 計算する・値を求める	もう一つの解を求める	2	m-jh3-A-05-08b.txt:104, m-jh3-A-05-08b.txt:161
08 計算する・値を求める	もっとも高い地点ともっとも低い地点の差を計算する	1	m-jh1-A-01-19s.txt:99
08 計算する・値を求める	もとの整数を求める	1	m-jh2-A-03-12b.txt:102
08 計算する・値を求める	もとの粘土の体積を求める	1	m-jh1-B-03-01b.txt:213
08 計算する・値を求める	りんごの個数を求めて検算する	1	m-jh1-A-03-11s.txt:107
08 計算する・値を求める	データの合計を求める	1	m-jh3-D-01-02b.txt:111
08 計算する・値を求める	ルートの中を計算する	1	m-jh3-A-05-06b.txt:134
08 計算する・値を求める	一直線の角の和を使って $y$ を求める	1	m-jh2-C-01-01b.txt:228
08 計算する・値を求める	三角形の面積は	1	m-jh1-A-02-03s.txt:291
08 計算する・値を求める	中央の直線で $y$ を求める	1	m-jh3-C-01-10b.txt:205
08 計算する・値を求める	中心角 $x$ を求める	1	m-jh3-C-02-06b.txt:209
08 計算する・値を求める	中心角の割合を求める	1	m-jh1-C-01-15b.txt:236
08 計算する・値を求める	中心角を求める	3	m-jh1-C-01-16b.txt:148, m-jh1-C-01-16b.txt:206, m-jh1-C-01-16b.txt:270
08 計算する・値を求める	乗法を先に計算する	1	m-jh2-A-01-13s.txt:103
08 計算する・値を求める	五角形 $P$ の面積を求める	1	m-jh3-C-01-13b.txt:269
08 計算する・値を求める	五角形 $Q$ の面積を求める	2	m-jh3-C-01-13b.txt:205, m-jh3-C-01-13b.txt:292
08 計算する・値を求める	体積も同じ倍率にする	1	m-jh1-B-03-01b.txt:236
08 計算する・値を求める	体積を考える	1	m-jh3-B-01-01b.txt:257
08 計算する・値を求める	体積比を求める	1	m-jh3-C-01-07b.txt:147
08 計算する・値を求める	体積を求める	9	m-jh1-C-02-11b.txt:146, m-jh1-C-02-11b.txt:219, m-jh1-C-02-12b.txt:145, m-jh1-C-02-12b.txt:219, m-jh3-C-01-07b.txt:209
08 計算する・値を求める	何と何の相似比を求めるかを確認する	1	m-jh3-C-01-02b.txt:249
08 計算する・値を求める	使った枚数を求める	1	m-jh1-B-03-01b.txt:120
08 計算する・値を求める	使った金額を求める	1	m-jh1-A-03-10b.txt:101
08 計算する・値を求める	係数だけを計算する	9	m-jh3-A-04-11b.txt:83, m-jh3-A-04-11b.txt:116, m-jh3-A-04-12b.txt:86, m-jh3-A-04-12b.txt:142, m-jh3-A-04-12s.txt:95
08 計算する・値を求める	係数と数の部分を計算する	4	m-jh1-A-02-06b.txt:231, m-jh1-A-02-06b.txt:266, m-jh1-A-02-06s.txt:85, m-jh1-A-02-06s.txt:123
08 計算する・値を求める	係数の引き算を計算する	1	m-jh3-A-04-11b.txt:124
08 計算する・値を求める	係数を計算する	7	m-jh1-A-02-06b.txt:84, m-jh1-A-02-06b.txt:113, m-jh1-A-02-06b.txt:143, m-jh1-A-02-06b.txt:172, m-jh1-A-02-06b.txt:201
08 計算する・値を求める	側面の三角形1つの面積を求める	1	m-jh1-C-02-14b.txt:143
08 計算する・値を求める	側面積を考える	1	m-jh3-B-01-01b.txt:214
08 計算する・値を求める	側面積を求める	4	m-jh1-C-02-13b.txt:142, m-jh1-C-02-13b.txt:215, m-jh1-C-02-14b.txt:154, m-jh1-C-02-14b.txt:221
08 計算する・値を求める	傾き $a$ を求める	2	m-jh2-B-01-13b.txt:181, m-jh2-B-01-13b.txt:225
08 計算する・値を求める	先に2乗を計算する	1	m-jh1-A-02-04b.txt:324
08 計算する・値を求める	入浴後に残った水の体積を求める	1	m-jh1-B-03-01b.txt:171
08 計算する・値を求める	全体の個数を求める	1	m-jh1-D-01-12b.txt:65
08 計算する・値を求める	共通している素因数の積をとる	1	m-jh1-A-01-21s.txt:162
08 計算する・値を求める	共通の符号をつけて答えを書く	2	m-jh1-A-01-05b.txt:195, m-jh1-A-01-05b.txt:227
08 計算する・値を求める	円全体の周の長さを求める	3	m-jh1-C-01-16b.txt:129, m-jh1-C-01-16b.txt:187, m-jh1-C-01-16b.txt:251
08 計算する・値を求める	円周角から中心角を求める	1	m-jh3-C-02-06b.txt:128
08 計算する・値を求める	円周角から対応する中心角を求める	1	m-jh3-C-02-02b.txt:198
08 計算する・値を求める	分子と分母で同じものを約分する	4	m-jh2-A-01-12b.txt:86, m-jh2-A-01-12b.txt:126, m-jh2-A-01-12s.txt:87, m-jh2-A-01-12s.txt:126
08 計算する・値を求める	分子と分母に分けて考える	1	m-jh3-A-04-08s.txt:158
08 計算する・値を求める	分子と分母に分ける	1	m-jh3-A-04-08b.txt:137
08 計算する・値を求める	分子と分母の同じ文字を消す	2	m-jh2-A-01-11s.txt:84, m-jh2-A-01-11s.txt:126
08 計算する・値を求める	分子と分母の項を比べて同じ文字があればそれをけす	2	m-jh2-A-01-11b.txt:84, m-jh2-A-01-11b.txt:120
08 計算する・値を求める	分子の絶対値を比べて計算する	1	m-jh1-A-01-05b.txt:330
08 計算する・値を求める	分子をたす	2	m-jh1-A-01-08b.txt:322, m-jh1-A-01-08b.txt:370
08 計算する・値を求める	分子を足す	1	m-jh3-A-04-13b.txt:139
08 計算する・値を求める	分子分母それぞれを、係数と文字のかけ算にする	1	m-jh2-A-01-11s.txt:79
08 計算する・値を求める	分子分母それぞれ項のかけ算にする	1	m-jh2-A-01-11b.txt:79
08 計算する・値を求める	分子同士・分母同士をかける	1	m-jh1-A-01-11b.txt:192
08 計算する・値を求める	分数のかけ算として計算する	2	m-jh1-A-01-14b.txt:88, m-jh1-A-01-14b.txt:126
08 計算する・値を求める	分母が同じなので、分子の絶対値を比べる	1	m-jh1-A-01-05b.txt:286
08 計算する・値を求める	分母が同じ分数であることを確認する	1	m-jh3-A-04-13b.txt:132
08 計算する・値を求める	分母と分子に $\sqrt{2}$ をかける	3	m-jh3-A-04-10b.txt:153, m-jh3-A-04-13b.txt:83, m-jh3-A-04-13s.txt:80
08 計算する・値を求める	分母と分子に $\sqrt{3}$ をかける	1	m-jh3-A-04-09b.txt:73
08 計算する・値を求める	分母と分子に $\sqrt{5}$ をかける	1	m-jh3-A-04-09b.txt:103
08 計算する・値を求める	分母に根号があることを確認する	1	m-jh3-A-04-10s.txt:235
08 計算する・値を求める	分母に根号がある形に直す	1	m-jh3-A-04-10s.txt:193
08 計算する・値を求める	分母に根号がある項を有理化する	1	m-jh3-A-04-13s.txt:142
08 計算する・値を求める	分母に根号がある項を確認する	2	m-jh3-A-04-13b.txt:76, m-jh3-A-04-13s.txt:73
08 計算する・値を求める	分母の平方根を計算する	1	m-jh3-A-04-08b.txt:142
08 計算する・値を求める	分母の根号をはずす	1	m-jh3-A-04-08s.txt:165
08 計算する・値を求める	分母の無理数 $\hlblue{\sqrt{30}}$ を、分母と分子にかける	1	m-jh3-A-04-09s.txt:113
08 計算する・値を求める	分母の無理数 $\sqrt{2}$ を、分母と分子にかける	1	m-jh3-A-04-09s.txt:75
08 計算する・値を求める	分母をそろえる	1	m-jh1-A-01-05b.txt:321
08 計算する・値を求める	分母をはらう	1	m-jh1-A-03-13s.txt:233
08 計算する・値を求める	分母を有理化する	4	m-jh3-A-04-10s.txt:200, m-jh3-A-04-10s.txt:242, m-jh3-A-04-13b.txt:147, m-jh3-A-04-18b.txt:128
08 計算する・値を求める	分母を計算する	6	m-jh3-A-04-08s.txt:177, m-jh3-A-04-09b.txt:79, m-jh3-A-04-09b.txt:109, m-jh3-A-04-09s.txt:82, m-jh3-A-04-09s.txt:120
08 計算する・値を求める	加法だけの式として、分母を $6$ にそろえる	1	m-jh1-A-01-08b.txt:316
08 計算する・値を求める	加法として計算する	3	m-jh1-A-01-07b.txt:83, m-jh1-A-01-07b.txt:125, m-jh1-A-01-07b.txt:166
08 計算する・値を求める	区切りの点を求める	1	m-jh2-B-01-18b.txt:332
08 計算する・値を求める	十二角形の内角の和を求める	1	m-jh2-C-01-03b.txt:106
08 計算する・値を求める	半径 $a\ \mathrm{cm}$ の円の円周が半径 $2a\ \mathrm{cm}$ の円の円周の何倍かを計算する	1	m-jh2-A-02-02s.txt:111
08 計算する・値を求める	半径を求める	1	m-jh1-C-01-15b.txt:154
08 計算する・値を求める	単項式を、係数と文字の積として見る	5	m-jh2-A-01-10b.txt:71, m-jh2-A-01-10b.txt:113, m-jh2-A-01-10b.txt:155, m-jh2-A-01-10s.txt:70, m-jh2-A-01-10s.txt:116
08 計算する・値を求める	反比例の積が一定になることを使う	1	m-jh1-B-03-02b.txt:79
08 計算する・値を求める	台形 $DBCE$ の面積を求める	1	m-jh3-C-01-06b.txt:305
08 計算する・値を求める	右の直線で $z$ を求める	1	m-jh3-C-01-10b.txt:221
08 計算する・値を求める	右辺を計算する	2	m-jh1-A-03-04b.txt:83, m-jh1-A-03-04b.txt:164
08 計算する・値を求める	各項を因数の積で見る	1	m-jh3-A-02-01s.txt:73
08 計算する・値を求める	各項を計算する	1	m-jh1-A-02-09s.txt:179
08 計算する・値を求める	周の長さを求める	2	m-jh1-C-01-15b.txt:109, m-jh1-C-01-15b.txt:162
08 計算する・値を求める	和を求める	1	m-jh2-C-01-01b.txt:236
08 計算する・値を求める	問題で示された式を順番で計算する	4	m-jh1-A-01-15s.txt:75, m-jh1-A-01-15s.txt:104, m-jh1-A-01-15s.txt:131, m-jh1-A-01-15s.txt:158
08 計算する・値を求める	問題で示された式を順番に計算する	4	m-jh1-A-01-15b.txt:73, m-jh1-A-01-15b.txt:102, m-jh1-A-01-15b.txt:131, m-jh1-A-01-15b.txt:160
08 計算する・値を求める	四分位範囲を求める	1	m-jh2-D-02-04b.txt:242
08 計算する・値を求める	基準点からプラスマイナスを考えてBさんの得点を求める	1	m-jh1-A-01-19s.txt:74
08 計算する・値を求める	基準点を求める	1	m-jh1-A-01-19s.txt:71
08 計算する・値を求める	変化の割合を求める	3	m-jh2-B-01-02b.txt:118, m-jh2-B-01-19b.txt:113, m-jh3-B-01-05b.txt:273
08 計算する・値を求める	外へ流れた水の体積を求める	1	m-jh1-B-03-01b.txt:183
08 計算する・値を求める	外側の積と内側の積を等しくする	2	m-jh1-A-03-08b.txt:70, m-jh1-A-03-08b.txt:101
08 計算する・値を求める	大きい絶対値から小さい絶対値を引く	5	m-jh1-A-01-05b.txt:85, m-jh1-A-01-05b.txt:122, m-jh1-A-01-05b.txt:159, m-jh1-A-01-05b.txt:260, m-jh1-A-01-05b.txt:299
08 計算する・値を求める	定数 $a$ を求める	2	m-jh3-B-01-02b.txt:89, m-jh3-B-01-02b.txt:134
08 計算する・値を求める	定数を移して $x$ を求める	1	m-jh2-A-03-05b.txt:201
08 計算する・値を求める	実際の点数を求める	1	m-jh1-A-01-19b.txt:76
08 計算する・値を求める	対応する $y$ の値を求める	2	m-jh2-B-01-01b.txt:190, m-jh2-B-01-02b.txt:101
08 計算する・値を求める	対頂角を使って $x$ を求める	1	m-jh2-C-01-01b.txt:216
08 計算する・値を求める	左から順に計算する	1	m-jh2-A-01-13b.txt:109
08 計算する・値を求める	左の直線で $x$ を求める	1	m-jh3-C-01-10b.txt:213
08 計算する・値を求める	左辺を計算する	1	m-jh1-A-03-04b.txt:205
08 計算する・値を求める	平方根を求める	1	m-jh1-A-01-21s.txt:99
08 計算する・値を求める	平方根を計算する	1	m-jh3-A-05-04b.txt:84
08 計算する・値を求める	底辺の半分を求める	1	m-jh3-C-03-05b.txt:262
08 計算する・値を求める	底面の中心までの距離 $AH$ を求める	1	m-jh3-C-03-10b.txt:133
08 計算する・値を求める	底面の中心までの距離を求める	2	m-jh3-C-03-10b.txt:219, m-jh3-C-03-10b.txt:303
08 計算する・値を求める	底面の円周を求める	3	m-jh1-C-02-09b.txt:147, m-jh1-C-02-09b.txt:193, m-jh1-C-02-13b.txt:208
08 計算する・値を求める	底面の周の長さを求める	1	m-jh1-C-02-13b.txt:134
08 計算する・値を求める	底面の対角線 $EG$ を求める	1	m-jh3-C-03-09b.txt:128
08 計算する・値を求める	底面の対角線を求める	1	m-jh3-C-03-09b.txt:199
08 計算する・値を求める	底面積を求める	8	m-jh1-C-02-11b.txt:135, m-jh1-C-02-11b.txt:208, m-jh1-C-02-12b.txt:134, m-jh1-C-02-12b.txt:208, m-jh1-C-02-13b.txt:151
08 計算する・値を求める	式の値を求める	1	m-jh1-A-02-04b.txt:85
08 計算する・値を求める	弦 $AB$ の長さを求める	1	m-jh3-C-03-07b.txt:138
08 計算する・値を求める	弦の半分を求める	1	m-jh3-C-03-07b.txt:182
08 計算する・値を求める	弧の長さが円周の何倍かを求める	3	m-jh1-C-01-16b.txt:140, m-jh1-C-01-16b.txt:198, m-jh1-C-01-16b.txt:262
08 計算する・値を求める	弧の長さと面積を考える	1	m-jh1-C-01-15b.txt:244
08 計算する・値を求める	弧の長さの比から $x$ を求める	1	m-jh3-C-02-02b.txt:341
08 計算する・値を求める	弧の長さを求める	2	m-jh1-C-01-15b.txt:304, m-jh1-C-01-15b.txt:369
08 計算する・値を求める	掛け算を計算する	1	m-jh1-A-03-08s.txt:80
08 計算する・値を求める	接線のなす角 $x$ を求める	1	m-jh3-C-02-06b.txt:276
08 計算する・値を求める	接線のなす角を求める	1	m-jh3-C-02-06b.txt:136
08 計算する・値を求める	数と文字の積の順序は自由なので、数どうしを先にかける	1	m-jh1-A-02-07b.txt:70
08 計算する・値を求める	数の積を計算する	2	m-jh1-A-02-07b.txt:75, m-jh1-A-02-08b.txt:83
08 計算する・値を求める	数の部分を約分する	1	m-jh1-A-02-07b.txt:119
08 計算する・値を求める	斜辺 $x$ を求める	1	m-jh3-C-03-06b.txt:177
08 計算する・値を求める	斜辺 $y$ を求める	1	m-jh3-C-03-06b.txt:130
08 計算する・値を求める	最大公約数を求める	1	m-jh1-A-01-20s.txt:109
08 計算する・値を求める	最小公倍数を求める	1	m-jh1-A-01-20s.txt:115
08 計算する・値を求める	最小公倍数を求めるには、出てくる素因数をすべて使い、同じ素因数は指数が大きい方を使う	1	m-jh1-A-01-21s.txt:124
08 計算する・値を求める	根号どうしの乗法を計算する	3	m-jh3-A-04-14s.txt:87, m-jh3-A-04-17s.txt:70, m-jh3-A-04-17s.txt:123
08 計算する・値を求める	標本での割合を求める	2	m-jh3-D-01-03b.txt:99, m-jh3-D-01-03b.txt:141
08 計算する・値を求める	標本での印のついた魚の割合を求める	1	m-jh3-D-01-03b.txt:183
08 計算する・値を求める	標本の合計を求める	1	m-jh3-D-01-02b.txt:221
08 計算する・値を求める	標本平均を求める	1	m-jh3-D-01-02b.txt:226
08 計算する・値を求める	正の項と負の項の和を求める	1	m-jh1-A-01-08b.txt:205
08 計算する・値を求める	正の項の和と負の項の和を求める	1	m-jh1-A-01-08b.txt:128
08 計算する・値を求める	正九角形の1つの外角を求める	1	m-jh2-C-01-03b.txt:113
08 計算する・値を求める	正十二角形の内角の和を求める	1	m-jh2-C-01-03b.txt:253
08 計算する・値を求める	残っている紙の枚数を求める	1	m-jh1-B-03-01b.txt:102
08 計算する・値を求める	残りの項を計算する	1	m-jh3-A-04-15s.txt:201
08 計算する・値を求める	母集団の平均値との差を求める	1	m-jh3-D-01-02b.txt:240
08 計算する・値を求める	比例定数 $a$ を求める	2	m-jh1-B-02-03b.txt:140, m-jh1-B-02-03b.txt:175
08 計算する・値を求める	比例定数を求める	6	m-jh1-B-01-07b.txt:148, m-jh1-B-01-07b.txt:187, m-jh1-B-01-08b.txt:73, m-jh1-B-01-08b.txt:127, m-jh1-B-01-17b.txt:134
08 計算する・値を求める	水量が $600$ になるときを求める	1	m-jh2-B-01-19b.txt:128
08 計算する・値を求める	求める式を $y=ax+b$ とおく	2	m-jh2-B-01-13b.txt:126, m-jh2-B-01-13b.txt:175
08 計算する・値を求める	点 $A$ と直線 $\ell$ の距離を求める	1	m-jh1-C-01-03b.txt:140
08 計算する・値を求める	直方体の対角線 $AG$ を求める	1	m-jh3-C-03-09b.txt:139
08 計算する・値を求める	直方体の対角線を求める	1	m-jh3-C-03-09b.txt:214
08 計算する・値を求める	直線 $AB$ の傾きを求める	1	m-jh3-B-01-05b.txt:285
08 計算する・値を求める	直線の傾きを求める	1	m-jh3-B-01-10b.txt:148
08 計算する・値を求める	直線の式を求める	1	m-jh3-B-01-10b.txt:155
08 計算する・値を求める	直角をはさむ辺 $x$ を求める	1	m-jh3-C-03-06b.txt:123
08 計算する・値を求める	直角三角形 $ABD$ で高さ $x$ を求める	1	m-jh3-C-03-05b.txt:194
08 計算する・値を求める	直角三角形 $ADC$ で $y$ を求める	1	m-jh3-C-03-05b.txt:209
08 計算する・値を求める	直角三角形 $OAH$ で $AH$ を求める	1	m-jh3-C-03-07b.txt:123
08 計算する・値を求める	直角三角形 $OAH$ で $OH$ を求める	1	m-jh3-C-03-07b.txt:189
08 計算する・値を求める	相似比から面積比を求める	1	m-jh3-C-01-06b.txt:152
08 計算する・値を求める	相似比を求める	2	m-jh3-C-01-01b.txt:246, m-jh3-C-01-09b.txt:195
08 計算する・値を求める	短い辺 $x$ を求める	1	m-jh3-C-03-06b.txt:232
08 計算する・値を求める	積が0になる条件を使う	4	m-jh3-A-05-02b.txt:103, m-jh3-A-05-03b.txt:137, m-jh3-A-05-03s.txt:169, m-jh3-A-05-07s.txt:111
08 計算する・値を求める	積が一定になることを使う	2	m-jh1-B-03-02b.txt:113, m-jh1-B-03-02b.txt:147
08 計算する・値を求める	積の符号を決める	6	m-jh1-A-01-09b.txt:81, m-jh1-A-01-09b.txt:120, m-jh1-A-01-09b.txt:158, m-jh1-A-01-09b.txt:228, m-jh1-A-01-09b.txt:266
08 計算する・値を求める	符号に注意して、それぞれの積を計算する	2	m-jh1-A-02-07b.txt:143, m-jh1-A-02-07s.txt:79
08 計算する・値を求める	符号に注意して計算する	1	m-jh1-A-02-04b.txt:138
08 計算する・値を求める	符号の計算をする	1	m-jh1-A-02-07b.txt:92
08 計算する・値を求める	符号をつけて答えを書く	6	m-jh1-A-01-05b.txt:90, m-jh1-A-01-05b.txt:127, m-jh1-A-01-05b.txt:164, m-jh1-A-01-05b.txt:265, m-jh1-A-01-05b.txt:304
08 計算する・値を求める	符号を合わせて答えを書く	1	m-jh3-A-01-02s.txt:133
08 計算する・値を求める	符号を外に出して、絶対値の積を考える	2	m-jh1-A-01-14b.txt:83, m-jh1-A-01-14b.txt:121
08 計算する・値を求める	第1四分位数を求める	3	m-jh2-D-02-02b.txt:109, m-jh2-D-02-02b.txt:167, m-jh2-D-02-02b.txt:234
08 計算する・値を求める	第2四分位数を求める	3	m-jh2-D-02-02b.txt:100, m-jh2-D-02-02b.txt:157, m-jh2-D-02-02b.txt:224
08 計算する・値を求める	第3四分位数を求める	3	m-jh2-D-02-02b.txt:122, m-jh2-D-02-02b.txt:181, m-jh2-D-02-02b.txt:248
08 計算する・値を求める	答えを書く	68	m-jh1-A-02-07s.txt:87, m-jh1-A-02-07s.txt:125, m-jh1-A-02-08s.txt:124, m-jh2-A-02-02b.txt:85, m-jh2-A-02-02b.txt:121
08 計算する・値を求める	約分して小数に直す	1	m-jh1-A-02-04b.txt:403
08 計算する・値を求める	約分して計算する	2	m-jh1-A-01-14s.txt:86, m-jh1-A-01-14s.txt:125
08 計算する・値を求める	約分する	8	m-jh1-A-01-09b.txt:313, m-jh1-A-02-08b.txt:113, m-jh3-A-04-09s.txt:141, m-jh3-A-04-13b.txt:91, m-jh3-A-04-13b.txt:155
08 計算する・値を求める	約分の必要がないか確認し，そのまま答えとする	1	m-jh1-A-01-11b.txt:197
08 計算する・値を求める	累乗とかけ算を計算する	1	m-jh1-A-02-04s.txt:118
08 計算する・値を求める	累乗を計算する	4	m-jh1-A-01-16b.txt:80, m-jh1-A-01-16b.txt:116, m-jh1-A-01-16b.txt:152, m-jh1-A-01-16b.txt:192
08 計算する・値を求める	絶対値どうしをかける	3	m-jh1-A-01-09b.txt:232, m-jh1-A-01-09b.txt:270, m-jh1-A-01-09b.txt:308
08 計算する・値を求める	絶対値の商に、正の符号をつけた形にする	1	m-jh1-A-01-12b.txt:121
08 計算する・値を求める	絶対値の商に、負の符号をつけた形にする	3	m-jh1-A-01-12b.txt:83, m-jh1-A-01-12b.txt:161, m-jh1-A-01-12b.txt:199
08 計算する・値を求める	絶対値をかける	3	m-jh1-A-01-09b.txt:85, m-jh1-A-01-09b.txt:124, m-jh1-A-01-09b.txt:162
08 計算する・値を求める	絶対値をたす	3	m-jh1-A-01-05b.txt:190, m-jh1-A-01-05b.txt:222, m-jh1-A-01-08b.txt:88
08 計算する・値を求める	絶対値を比べる	4	m-jh1-A-01-05b.txt:74, m-jh1-A-01-05b.txt:111, m-jh1-A-01-05b.txt:148, m-jh1-A-01-05b.txt:249
08 計算する・値を求める	角 $x$ を求める	1	m-jh3-C-02-04b.txt:133
08 計算する・値を求める	角 $y$ を求める	1	m-jh3-C-02-04b.txt:143
08 計算する・値を求める	解を求める	2	m-jh3-A-05-07b.txt:97, m-jh3-A-05-07b.txt:138
08 計算する・値を求める	計算する	73	m-jh1-A-01-05s.txt:77, m-jh1-A-01-05s.txt:101, m-jh1-A-01-05s.txt:125, m-jh1-A-01-06s.txt:77, m-jh1-A-01-06s.txt:101
08 計算する・値を求める	計算して $x = 数$ の形にする	8	m-jh1-A-03-03b.txt:79, m-jh1-A-03-03b.txt:111, m-jh1-A-03-03b.txt:143, m-jh1-A-03-03b.txt:175, m-jh1-A-03-03b.txt:207
08 計算する・値を求める	計算してまとめる	4	m-jh3-A-01-08b.txt:87, m-jh3-A-01-08b.txt:123, m-jh3-A-01-08s.txt:88, m-jh3-A-01-08s.txt:128
08 計算する・値を求める	計算をする	11	m-jh1-A-01-17s.txt:85, m-jh1-A-01-17s.txt:121, m-jh1-A-01-17s.txt:157, m-jh1-A-01-17s.txt:193, m-jh2-A-01-04b.txt:92
08 計算する・値を求める	記録の合計を求める	1	m-jh3-D-01-02b.txt:155
08 計算する・値を求める	負の数どうしの積は正になる	1	m-jh1-A-02-07b.txt:114
08 計算する・値を求める	距離を求める	3	m-jh3-C-03-08b.txt:143, m-jh3-C-03-08b.txt:178, m-jh3-C-03-08b.txt:224
08 計算する・値を求める	逆数の符号を考える	3	m-jh1-A-01-13b.txt:79, m-jh1-A-01-13b.txt:117, m-jh1-A-01-13b.txt:160
08 計算する・値を求める	長い辺 $y$ を求める	2	m-jh3-C-03-06b.txt:184, m-jh3-C-03-06b.txt:239
08 計算する・値を求める	長さを求める	5	m-jh3-C-01-09b.txt:133, m-jh3-C-03-09b.txt:288, m-jh3-C-03-11b.txt:128, m-jh3-C-03-11b.txt:168, m-jh3-C-03-11b.txt:209
08 計算する・値を求める	長方形の面積は	1	m-jh1-A-02-03s.txt:310
08 計算する・値を求める	除法を逆数を使って乗法にする	4	m-jh1-A-01-14b.txt:77, m-jh1-A-01-14b.txt:115, m-jh1-A-01-14s.txt:74, m-jh1-A-01-14s.txt:113
08 計算する・値を求める	面積が三角形 $DEF$ の半分になるときを求める	1	m-jh3-B-01-09b.txt:238
08 計算する・値を求める	面積の式を作る	1	m-jh1-B-02-01b.txt:246
08 計算する・値を求める	面積は $y=ab$ だが、与えられた $x$ から $a$ と $b$ の組み合わせは一つに決まらない。たとえば $x=10$ のときは	1	m-jh1-B-01-01b.txt:105
08 計算する・値を求める	面積比を使って $F$ の面積を求める	1	m-jh3-C-01-06b.txt:166
08 計算する・値を求める	面積比を考える	1	m-jh3-C-01-09b.txt:206
08 計算する・値を求める	面積比を求める	6	m-jh3-C-01-06b.txt:106, m-jh3-C-01-06b.txt:218, m-jh3-C-01-06b.txt:295, m-jh3-C-01-13b.txt:131, m-jh3-C-01-13b.txt:199
08 計算する・値を求める	面積を求める	8	m-jh1-C-01-15b.txt:124, m-jh1-C-01-15b.txt:177, m-jh1-C-01-15b.txt:319, m-jh1-C-01-15b.txt:384, m-jh3-C-01-09b.txt:213
08 計算する・値を求める	順に計算する	3	m-jh1-A-02-04b.txt:271, m-jh1-A-02-04b.txt:351, m-jh1-A-02-04b.txt:377
08 計算する・値を求める	高さを求める	2	m-jh3-C-03-10b.txt:231, m-jh3-C-03-10b.txt:315

## 09 方程式・連立方程式を解く
09 方程式・連立方程式を解く	1文字の方程式を解く	1	m-jh2-A-03-05s.txt:98
09 方程式・連立方程式を解く	2次方程式を解く	1	m-jh3-A-05-10s.txt:95
09 方程式・連立方程式を解く	それぞれの1次方程式を解く	2	m-jh3-A-05-02b.txt:80, m-jh3-A-05-03b.txt:147
